,earned,headline,hours,jobs,rate,skills
259,$5k+,"Writing, Editing, Superior Admin/Customer Support!",283,6,$16.00,"['Writing', 'Editing', 'Content Writing', 'Online Writing', 'Copywriting', 'Administrative Support', 'Resume Writing', 'Report Writing', 'Creative Writing', 'Business Writing']"
260,$7k+,"Organized, Time-Efficient Project Manager/Admin",390,7,$25.00,"['Legal Translation', 'Administrative Support', 'Project Planning', 'Editing', 'Customer Service', 'Project Management', 'Data Entry', 'Resume Writing', 'Social Media Management', 'Instagram Marketing']"
261,$40k+,Blockchain/Cryptocurrency Writer ||| ICO Advisor & Consultant,454,22,$125.00,"['White Paper Writing', 'ICO Marketing', 'Content Writing', 'Blockchain', 'ICO', 'Copywriting', 'Cryptocurrency', 'Blog Writing', 'Technical Writing', 'Social Media Management']"
262,$8k+,Executive Assistant / CS Manager / HR / Property Management,328,3,$29.00,"['Executive Assistant', 'Bookkeeping', 'Inventory Management', 'Customer Service', 'Payroll Processing', 'Data Entry', 'Project Scheduling', 'Administrative Support']"
263,$3k+,Paperwork Demolisher,249,4,$15.00,"['Microsoft Word', 'Microsoft Excel', 'Microsoft PowerPoint']"
264,$8k+,Experienced Bookkeeper with over 15 years Quickbooks Experience,226,9,$40.00,"['Bookkeeping', 'Payroll Processing', 'Accounts Payable Management', 'Accounts Receivable Management', 'Bank Reconciliation']"
265,$6k+,Accounts Receivable/Invoice Clerk,431,1,$20.00,"['Microsoft Office', 'Microsoft Word', 'Microsoft Excel', 'Data Entry', 'Accounts Receivable Management', 'Sage 50 Accounting', 'Intuit QuickBooks', 'Customer Service', 'Customer Support', 'Invoice Processing']"
266,$3k+,Virtual Assistant,241,1,$12.00,"['Microsoft Word', 'Microsoft Excel', 'Research', 'Customer Service', 'Editing']"
267,$40k+,Doctorate Health Education and Promotion. MA in Social Work.,623,6,$65.00,"['Academic Writing', 'Curriculum Development', 'Public Health', 'Research', 'Virtual Assistant', 'Writing', 'Instructional Design']"
268,$30k+,Egypt consultant,316,1,$100.00,"['International Development', 'Media Relations', 'Arabic']"
269,$8k+,Web Application Developer,280,3,$45.00,"['React.js', 'Node.js', 'JavaScript', 'Redux Framework', 'Redux for JavaScript', 'MongoDB', 'HTML5', 'HTML', 'CSS3']"
270,$20k+,Full Stack Web/App Developer(ReactJS/ASP.NET/Angulrar/Python/Node.JS),363,16,$70.00,"['Swift', 'iOS Development', 'React Native', 'Node.js', 'React.js', 'ASP.NET', 'PHP', 'AngularJS', 'Python', 'C#']"
271,$20k+,Executive Assistant,"1,293",3,$18.75,"['Microsoft Office 365', 'Email Handling', 'Administrative Support', 'Social Media Marketing', 'Social Customer Service', 'Bookkeeping', 'Data Entry']"
272,$4k+,Legal Assistant (Litigation)/ Technical Assistant / Data Management,277,1,$27.00,"['Legal Assistance', 'Microsoft Excel', 'Database Administration', 'Data Entry', 'Technical Writing', 'Internet Research', 'Administrative Support', 'Customer Support', 'English Proofreading', 'Geographic Information System (GIS)']"
273,$20k+,Grammar & Editing Specialist,"1,503",2,$14.00,"['Adobe Flash', 'Windows Media Connect', 'Excel VBA', 'Translation French Portuguese']"
274,$10k+,Virtual Assistant/Office Manager/Customer Service,493,2,$25.00,"['Microsoft Office', 'Microsoft Outlook', 'Calendar Management', 'AppFolio', 'HIPAA', 'Customer Service', 'Writing', 'Email Handling', 'Project Scheduling', 'Bookkeeping']"
275,$20k+,"PHP, WordPress, Shopify, Javascript, Python, Blockchain Engineer",459,9,$79.99,"['PHP', 'WordPress', 'Shopify', 'JavaScript', 'Node.js', 'React.js', 'Python', 'Blockchain', 'Smart Contracts', 'Solidity']"
276,$50k+,Scientific Consultant,266,2,$200.00,"['Machine Learning', 'Data Science', 'Algorithms', 'Mathematics', 'Analytics', 'Natural Language Processing', 'Statistics']"
277,$10k+,Operations / Administrative Assistant,800,2,$25.00,"['Customer Support', 'Social Media Marketing', 'Event Planning', 'Microsoft Office', 'Email Handling', 'Presentations']"
278,$4k+,"Copy Editor, Proofreader and Writer (AP style)",280,7,$30.00,"['AP Style Writing', 'Press Release Writing', 'News Writing Style', 'Story Editing', 'Short Story Writing', 'Copyediting', 'Proofreading']"
279,$20k+,"Senior Mobile Developer - iOS, Android, React Native, Ionic, Node.",383,11,$75.00,"['Swift', 'Objective-C', 'Java', 'HTML5', 'CSS', 'Mobile App Development', 'iOS Development', 'Android App Development', 'React Native', 'Ionic Framework']"
280,$50k+,Experienced Virtual Admin & Online Marketing Specialist,"2,200",12,$50.00,"['WordPress', 'Social Media Management', 'Content Writing', 'Internet Research', 'Internet Marketing', 'Email Marketing', 'Project Management', 'InfusionSoft Marketing', 'Landing Pages', 'Virtual Assistant']"
281,$6k+,Art Director,266,5,$45.00,"['Art Direction', 'Graphic Design', 'Adobe Creative Suite', 'Creative Writing', 'Copywriting', 'Photography', 'Photo Retouching', 'Marketing Strategy']"
282,$20k+,Audio Engineer / Podcast Producer,"1,989",26,$40.00,"['Audio Restoration', 'Audio Production', 'Audio Editing', 'Musical Composition', 'Music Producing', 'Audio Mixing', 'Audio Design', 'Customer Support', 'Customer Service', 'Social Media Optimization (SMO)']"
283,NA,"Expert developer, copywriter, designer, InfusionSoft , Leadpages",NA,NA,NA,"['Adobe Photoshop', 'WordPress', 'HTML', 'InfusionSoft Marketing', 'Adobe InDesign', 'CSS', 'PHP', 'Lead Generation', 'Inbound Marketing', 'Facebook Marketing']"
284,$20k+,"Health, exercise and nutrition synthesized for you",569,68,$37.50,"['English', 'Microsoft PowerPoint', 'Online Writing']"
285,$200k+,Full Charge Bookkeeper & Administrative Assistant,"14,162",28,$30.00,"['Accounting', 'Accounts Payable Management', 'Accounts Receivable Management', 'Administrative Support', 'Sassu', 'Intuit QuickBooks', 'Bank Reconciliation', 'Bookkeeping', 'Virtual Assistant', 'Project Management']"
286,$10k+,Transcription Specialist,342,118,$25.00,"['Microsoft Excel', 'Data Entry', 'Internet Research', 'Transcription']"
287,$90k+,Intuitive Content Marketing and Graphic Design For Your Business,"3,467",28,$50.00,"['Graphic Design', 'Adobe Photoshop', 'Photo Editing', 'Web Design', 'Banner Ads', 'Banner Ad Design', 'Infographics', 'Logo Design', 'Print Design', 'Corporate Brand Identity']"
288,$8k+,"Experienced CPA, Accountant, Quickbooks, Xero and Tax",233,22,$30.00,"['Intuit QuickBooks', 'Microsoft Excel', 'Accounting', 'Tax Preparation', 'Business Analysis', 'Xero']"
289,$100k+,Expert WordPress Web & Graphic Design Marketing Professional.,NA,NA,$93.75,[]
290,$8k+,Collaborative Content Specialist,260,7,$30.00,"['Microsoft Office', 'Photography', 'Research', 'Process Improvement', 'Voice Talent', 'Survey Design', 'SurveyMonkey', 'Business Planning', 'Marketing Management', 'Key Account Management']"
291,$8k+,English - Korean Translator & Editor,636,8,$10.00,"['Translation', 'Translation English Korean']"
292,$20k+,"Transcriptionist, Medical Billing, Data Entry","1,793",46,$13.75,[]
293,$20k+,Digital Marketer,"1,271",9,$40.00,"['Copywriting', 'Search Engine Optimization (SEO)', 'WordPress', 'Email Marketing', 'Content Marketing', 'Marketing Strategy', 'Marketing Research', 'Social Media Marketing', 'Translation Spanish English']"
294,$40k+,Writer and Editor,"1,155",10,$50.00,"['Writing', 'Editing', 'Website Development']"
295,NA,eMail Marketing Specialist,NA,NA,NA,"['Email Marketing', 'HTML', 'Graphic Design', 'Banner Ads', 'Banner Ad Design', 'Data Analytics', 'Salesforce.com', 'Marketing Cloud Marketing', 'MailChimp', 'Automation']"
296,$5k+,Experienced Executive & Virtual Assistant,253,3,$35.00,"['Calendar Management', 'Appointment Setting', 'Travel Planning', 'Internet Research', 'Customer Service', 'Social Media Management', 'Data Entry', 'Email Handling', 'Event Management', 'CRM']"
297,NA,Chief Talent Officer,NA,NA,NA,"['Recruiting', 'Business Writing', 'Business Coaching', 'Human Resource Management', 'Human Resource Information Systems']"
298,$30k+,Illustrator,762,97,$27.78,"['Illustration', 'Digital Painting', 'Drawing', 'Caricature Drawing', 'Adobe Photoshop']"
299,$10k+,NA,563,52,$40.00,"['Cisco ASA', 'Cisco IOS', 'Cisco PIX', 'Cisco Routers', 'Joomla', 'Content Management', 'Web Design', 'Cisco CallManager', 'Cisco Certified Network Professional (CCNP)']"
300,$6k+,Retail Fashion Business Consultant,263,9,$30.00,"['Data Entry', 'Social Media Management', 'Email Etiquette', 'Virtual Assistant', 'CRM', 'Customer Service', 'Adobe Photoshop', 'Etsy Administration', 'Amazon Webstore', 'Transcription']"
301,$30k+,Data Science Professional,808,17,$95.00,"['Microsoft SQL SSAS', 'Microsoft SQL SSRS', 'Microsoft Power BI', 'SQL Server Integration Services (SSIS)', 'SQL Programming', 'Microsoft Excel PowerPivot', 'Microsoft Excel']"
302,$30k+,Expert Web and App Developer,351,19,$70.00,"['Swift', 'JavaScript', 'PHP', 'Unity', 'WordPress', 'Objective-C', 'HTML5', 'AngularJS', 'AWS Lambda', 'Java']"
303,NA,Experienced Digital Marketing and Advertising Manager,NA,NA,NA,"['Advertising', 'Social Media Marketing', 'Digital Media', 'B2B Marketing', 'Marketing Strategy', 'Facebook Marketing', 'Account Management', 'Customer Service', 'Campaign Management', 'Google AdWords']"
304,$200k+,C#/.NET Core/Java/Angular/SQL,"4,102",14,$95.00,"['Java', 'C#', '.NET Framework', 'Big Data', 'Microsoft SQL Server Programming', 'NoSQL', 'Apache Kafka', 'Delphi', 'Spring Framework', 'AngularJS']"
305,$300k+,Professional Excel VBA Developer,"13,441",36,$27.78,"['VBA', 'Microsoft Excel', 'PDF Conversion', 'Microsoft Word', 'Spreadsheets', 'Data Scraping', 'Data Analytics', 'Visual Basic', 'Yahoo! Store']"
306,$20k+,Experienced CPA,240,37,$70.00,"['Financial Forecasting', 'Accounting', 'Cost Accounting', 'Job Costing', 'Financial Modeling', 'Financial Analysis', 'Budgeting & Forecasting', 'Bookkeeping', 'Financial Management']"
307,$40k+,Freelancer,"1,958",4,$20.00,[]
308,$20k+,Business and Leisure Travel Planning / Retreat Venue Planning,911,32,$38.00,"['Travel Planning', 'Travel Agent', 'Virtual Assistant', 'Internet Research', 'Italian', 'Microsoft Office', 'CRM', 'Project Management']"
309,$80k+,Graphic Designer,"2,485",38,$30.00,"['Graphic Design', 'Logo Design', 'Poster Design', 'Arts & Crafts']"
310,$40k+,Retail sales/ Construction Estimator/ Internet Search,"2,305",1,$25.00,[]
311,$40k+,Administrative Director | Team Lead | Research Expert | Data Entry,"2,179",7,$25.00,"['Computer Skills', 'Email Handling', 'Organizational Behavior', 'Time Management', 'Data Entry', 'Records Management', 'Travel Planning', 'Telephone Handling', 'Order Processing', 'Document Review']"
312,$7k+,Virtual Assistant/ Marketing Professional,285,7,$25.00,"['Administrative Support', 'Executive Assistant', 'Project Management', 'Customer Support', 'Sales', 'Writing', 'Blog Writing', 'Digital Media', 'Calendar Management', 'Travel Planning']"
313,$90k+,Inside Sales Rep,"2,078",2,$28.00,['Excel VBA']
314,$10k+,"Expert Project Manager, Product Manager","1,623",6,$25.00,"['Project Management Professional', 'Project Management', 'Event Planning', 'Administrative Support', 'Customer Service', 'Email Handling', 'Customer Support', 'Virtual Assistant']"
315,$10k+,Expert WordPress Developer & Bookkeeper,802,6,$30.00,"['WordPress', 'MODX', 'WiX', 'Microsoft Excel', 'Accounting', 'Bookkeeping', 'Financial Analysis', 'Microsoft Word', 'Computer Skills', 'Search Engine Optimization (SEO)']"
316,$100k+,"Expert nonfiction children's writing, copy editing, proofing, & layout","1,130",231,$45.00,['English']
317,NA,Certified Professional in Big Data and Data Science,NA,NA,NA,"['Hadoop', 'Apache Spark', 'MapReduce', 'Big Data', 'Machine Learning', 'Data Analytics', 'Android App Development', 'Data Warehousing', 'Data Science']"
318,$10k+,Japanese-English Translator,513,56,$25.00,['Translation English Japanese']
319,$70k+,Freelance Writer and Marketing Specialist,335,30,$100.00,"['Copywriting', 'Content Writing', 'Marketing Strategy', 'Social Media Marketing', 'Freelance Marketing', 'B2B Marketing', 'Email Marketing', 'Press Release Writing', 'White Paper Writing', 'Internet Marketing']"
320,$40k+,Dental Insurance/Billing/Administrative Assistant,"3,749",4,$18.00,"['Dental Technology', 'Insurance Consulting']"
321,NA,Video Editor and Animator,NA,NA,NA,"['Adobe Premiere Pro', 'Adobe After Effects', 'Adobe Audition', 'Video Editing', 'Audio Editing', 'Audio Mixing', 'Videography', 'Transcription']"
322,NA,"Professional Video Editor, Colorist, and Animator",NA,NA,NA,"['Editing', 'Adobe Premiere Pro', 'Adobe After Effects', 'Final Cut Pro', 'DaVinci Resolve']"
323,$10k+,Editor and Proofreader,341,37,$20.00,"['Instructional Design', 'WordPress', 'Web Design', 'Graphic Design', 'English', 'English Proofreading', 'Microsoft Office', 'Microsoft PowerPoint', 'Ghostwriting', 'eBooks']"
324,$7k+,Project/Asset Accountant Data Analyst,673,14,$18.00,"['Quantitative Analysis', 'Cost Accounting', 'Accounting', 'Accounts Payable Management', 'Microsoft Excel', 'Microsoft Word', 'Data Entry', 'Data Scraping', 'Blog Writing']"
325,$40k+,Virtual Assistant - Your Administrative Support Solution,"2,172",7,$20.00,"['Virtual Assistant', 'Transcription', 'Data Entry', 'Microsoft Word', 'Microsoft Excel', 'Email Marketing', 'Typing', 'Calendar Management', 'Email Handling']"
326,$60k+,Founder/Social Media Manager,"1,568",6,$25.00,"['Social Networking Development', 'Social Network Administration', 'Brand Marketing', 'Blog Writing', 'Blog Commenting', 'Blog Development', 'Social Media Marketing', 'Social Media Management', 'Social Media Optimization (SMO)']"
327,$30k+,Content is Cash,288,357,$31.25,[]
328,NA,NA,NA,NA,NA,"['iOS Development', 'Swift', 'Objective-C', 'iPhone App Development', 'iPad App Development', 'Android App Development', 'CoreData', 'REST', 'Apple UIKit Framework', 'Git']"
329,$10k+,Healthcare Software Development,308,11,$100.00,"['Ruby on Rails', 'Project Management', 'Trello', 'Atlassian JIRA', 'WordPress', 'HTML', 'CSS', 'Sass', 'Twitter Bootstrap']"
330,$30k+,SEO Specialist | Kw Research | Content Marketing,"2,560",34,$35.00,"['SEOMoz', 'Link Building', 'Social Media Marketing', 'Internet Marketing', 'WordPress', 'English Spelling', 'Google Analytics', 'Google AdWords']"
331,NA,"Marketing Analytics Consultant | Reporting, Analysis, and Optimization",NA,NA,NA,"['Google Analytics', 'Adobe Analytics', 'SQL', 'Tableau Software', 'Data Visualization', 'A/B Testing', 'Business Intelligence', 'Marketing Strategy', 'Optimizely', 'Conversion Rate Optimization']"
332,$20k+,Internet Researcher with Paralegal Degree,"2,848",79,$10.00,"['Paralegal Services', 'Research', 'Internet Research', 'Data Entry', 'Typing', 'Email Etiquette']"
333,$20k+,"Writer, Editor, Designer, and General Go-To Girl",346,117,$35.00,"['Typesetting', 'Proofreading', 'Copyediting', 'Adobe InDesign', 'Print Layout Design', 'Graphic Design', 'Print Design', 'Microsoft PowerPoint', 'Adobe Illustrator', 'Ghostwriting']"
334,$6k+,Front End Wordpress Developer,287,15,$25.00,"['HTML', 'CSS', 'JavaScript', 'PHP', 'WordPress', 'Responsive Web Design', 'Woocommerce', 'Search Engine Optimization (SEO)', 'Accessibility']"
335,$20k+,Experienced HSE Professional,278,38,$50.00,"['Report Writing', 'Business Writing', 'Occupational Health', 'Environmental Science', 'Content Writing']"
336,$6k+,Administrative Professional,381,25,$25.00,"['Social Media Marketing', 'Social Media Management', 'MailChimp', 'Business Writing', 'English', 'Computer Skills', 'Customer Service', 'General Office Skills', 'Microsoft Office', 'Data Entry']"
337,$40k+,"Digital Design Vendor for Web Dev, Email, Social Media, Sharepoint",967,46,$45.00,"['WordPress', 'MailChimp', 'Adobe Photoshop', 'Microsoft PowerPoint', 'Social Media Marketing', 'Email Marketing', 'Video Production', 'SquareSpace', 'Responsive Web Design', 'Microsoft SharePoint Designer']"
338,$80k+,J.D. / Business Admin / QuickBooks Certified ProAdvisor,"4,460",42,$39.50,"['Intuit QuickBooks', 'Wordperfect', 'Bookkeeping', 'Payroll Processing', 'Proofreading', 'Transcription', 'Legal Writing', 'Paralegal Services']"
339,NA,Videographer and editor,NA,NA,NA,"['Video Editing', 'Video Production', 'Photography', 'Web Design', 'Sound Design']"
340,$20k+,Small Business Marketing Specialist,306,3,$65.00,"['Social Media Management', 'Social Media Optimization (SMO)', 'Social Media Marketing', 'Corporate Social Responsibility (CSR)', 'Content Marketing', 'Content Strategy', 'Content Creation', 'Marketing Strategy', 'B2B Marketing', 'Marketing Management']"
341,$10k+,"Project Coordinator, Voice Actress, Graphic Designer, VA, etc.",827,10,$30.00,"['Microsoft Office', 'Customer Service', 'Social Media Marketing', 'Apple iMovie', 'Presentations', 'Video Production', 'Organizational Development', 'Email Handling', 'Virtual Assistant', 'Graphic Design']"
342,$10k+,Design | Web Development | Email Development,356,97,$60.00,"['Web Design', 'Adobe Photoshop', 'Photography', 'HTML', 'MailChimp', 'CSS', 'Adobe Illustrator', 'WordPress', 'HTML5', 'Ecommerce Platform Development']"
343,$10k+,"Comic Book Artist, Web Developer",401,16,$35.00,"['Comic Art', 'Book Cover Design', 'Cover Design', 'WordPress', 'HTML', 'HTML5', 'PHP', 'Website Development', 'Web Design']"
344,$8k+,Virtual Assistant and Marketing Specialist,398,8,$28.00,"['Social Media Marketing', 'Market Research', 'Administrative Support', 'Customer Service', 'Spanish', 'Project Management', 'Marketing Strategy', 'Public Relations', 'Blog Writing', 'Newsletter Writing']"
345,$5k+,Social Media Marketer,354,19,$15.00,"['Instagram Marketing', 'Facebook Marketing', 'Twitter Marketing', 'Pinterest Marketing', 'Content Writing']"
346,$70k+,"Award Winning Graphic Design - books, web, print, retouching","1,402",157,$40.00,"['Print Layout Design', 'eBook Design', 'Graphic Design', 'Print Advertising', 'Book Cover Design', 'Brochure Design', 'Photo Retouching', 'Print Design', 'Marketing Strategy', 'Adobe Photoshop']"
347,$20k+,MemberGate Virtual Assistant,430,13,$60.00,"['Web Design', 'Virtual Assistant']"
348,$40k+,"Graphic Designer Specializing in Books, Ads, and More","1,291",130,$31.25,"['Adobe Photoshop', 'Adobe InDesign', 'Adobe Illustrator']"
349,$60k+,Design Superhero,"1,138",229,$35.00,"['Graphic Design', 'Adobe Photoshop', 'Adobe Illustrator', 'Corporate Brand Identity', 'Logo Design', 'Brand Marketing', 'Responsive Web Design', 'Social Media Marketing', 'Social Media Management', 'Brochure Design']"
350,,,,,,"['', '', '', '', '']"
